,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
3259,3259,2004,1934,Rodney Buford,1610612758,SAC,6,35.35,10,2,3,0,0,1,0,0.2028,0.07275,-0.1314,0.0123263817329688,-0.0535423828235993,0.0
3260,3260,2004,915,Rodney Rogers,1610612751,NJN,39,696.7366666666667,239,141,65,29,11,53,20,0.3707727272727272,0.1789565217391304,0.022590909090909,13.174981961170865,0.8763128214639574,0.0
3261,3261,2004,2206,Rodney White,1610612743,DEN,45,609.65,357,104,39,21,16,50,23,0.4276428571428571,0.2145588235294117,0.0193571428571428,22.32468297685861,2.2523066684550987,0.0
3262,3262,2004,2427,Roger Mason Jr.,1610612761,TOR,11,89.39,17,6,6,3,1,6,3,0.4596,0.0927222222222222,0.0572,-0.8927423160417696,,0.0
3263,3263,2004,1500,Ron Mercer,1610612759,SAS,35,486.9583333333333,187,47,21,14,5,26,2,0.3781153846153846,0.1612727272727272,0.0615,12.453298798140716,0.6317250809410008,0.0
3264,3264,2004,2648,Ronald Dupree,1610612741,CHI,19,374.88166666666666,132,62,24,18,8,23,0,0.3944999999999999,0.2168,0.0140714285714285,12.292667392242285,0.431058068721252,0.0
3265,3265,2004,2257,Ruben Boumtje-Boumtje,1610612757,POR,9,24.975,4,1,1,0,1,0,0,0.2448333333333333,0.0226190476190476,0.0411666666666666,4.391899967351062,0.0173841012414931,0.0
3266,3266,2004,1739,Ruben Patterson,1610612757,POR,42,1012.225,321,175,82,54,12,69,0,0.5372666666666667,0.1717419354838709,0.0953333333333333,18.451536614175485,2.5241162169951536,0.0
3267,3267,2004,1763,Ryan Bowen,1610612743,DEN,40,299.7416666666667,34,68,18,16,13,6,0,0.2418799999999999,0.0419705882352941,0.10112,12.760400353249851,0.4005367158594938,0.0
3269,3269,2004,955,Samaki Walker,1610612748,MIA,20,289.9033333333333,77,82,4,8,6,10,0,0.4205714285714285,0.1386875,0.0572857142857142,13.367973969453187,0.4567525446225647,0.0
3270,3270,2004,2223,Samuel Dalembert,1610612755,PHI,53,1255.775,371,339,10,27,99,43,0,0.5591153846153846,0.1308846153846153,0.0985384615384615,19.753572936989794,3.4034638007259552,0.0
